Id,Categoría,Empresa,Pregunta,Respuesta
51,Post-Subasta,Todos,¿Qué pasa si participo y no gano?,"No pasa nada, no se paga nada. En Pacífico Seguros, se tramita devolución del oblaje."
52,Pagos y Garantías,Todos,¿Qué garantía debo pagar si gano?,Porcentaje indicado en cada subasta (generalmente 8%-10%).
53,Post-Subasta,Todos,¿Qué pasa si gano una subasta?,"Depositar 10% como garantía, pagar 90% restante a vendedor. La garantía se convierte en comisión BOB."
54,Medios de Pago,Todos,¿Qué medios de pago aceptan?,Transferencias bancarias a cuenta del vendedor. No efectivo ni fuera de canal oficial.
55,Participación,Todos,¿Cómo puedo participar?,"Registrarse en https://www.somosbob.com/registro, revisar subastas y ofertar en línea."
56,Post-Subasta,Todos,¿Qué pasa si gano la subasta?,"Depositar 10% como garantía, luego completar 90% a vendedor. El 10% es comisión BOB."
57,Post-Subasta,Todos,¿Por qué podría ser rechazada mi oferta después de ganar?,Por decisión del vendedor (ej. documentación o cambios internos). No afecta futuras participaciones.
58,Información General,Todos,¿Cuáles son sus redes sociales?,"Estamos como bobsubastas en Facebook, TikTok, Instagram, LinkedIn y YouTube."
59,Información General,Todos,¿En cuanto tiempo me dan respuesta si gano una subasta?,"Dependiendo de la empresa, en el caso de santander son 72h luego de cerrada la subasta, en otras empresas puede demorar de 3 a 7 días habiles."
60,Información General,Todos,¿Cómo sé el estado del bien o vehículo subastado?,"Comprendemos su interés en conseguir algo de valor y su pregunta es muy importante. Como subastadores, nuestro compromiso es la transparencia total. Es fundamental saber que no ofrecemos garantías sobre el estado o funcionamiento de los vehículos. Todos se venden en la condición actual en que se encuentran (""as-is""). Para que usted pueda asegurar una buena compra, le ofrecemos dos herramientas clave: 1. Inspección Física (Visita): Le invitamos a inspeccionar el vehículo con un mecánico o experto de su confianza antes de la subasta. Así se asegura de lo que está comprando. 2. Historial del Bien: Podemos compartirle el historial o los documentos disponibles, pero esto siempre está sujeto a la información que nos proporcione la empresa vendedora. Para coordinar su inspección, solo debe indicarnos qué vehículo le interesa y con gusto gestionaremos la visita con uno de nuestros especialistas."
61,Información General,Todos,¿Algo más comercial tendra?,"Entendido. Dado que somos una empresa de subastas (no un concesionario), nuestro inventario es muy dinámico. Para encontrar lo que buscas, por favor, indícanos la marca y el modelo específico del vehículo o maquinaria. Con esa información, podemos buscarlo en las subastas actuales o agendar una alerta para avisarte cuando esté disponible."
62,Información General,Todos,¿Hay vehículos de color blanco en subasta?,"¡Entiendo! Estás buscando vehículos blancos. Mira, por ahora no puedo hacer un filtro exacto solo por color, ya que esa información no está tan detallada aquí. Sin embargo, para que lo veas al detalle, la mejor forma es revisar directamente las fotos y descripciones en el enlace de la subasta. ¿Me dices la marca, modelo o código de la subasta que te interesa? Así te doy el enlace al catálogo de inmediato.
Si todavía estás explorando las opciones, puedes ver todas las subastas disponibles aquí: https://www.somosbob.com/subastas"
